clade_name	SRR3950465_SRR3950465_db1.metaphlan	SRR3950469_SRR3950469_db1.metaphlan	SRR3950473_SRR3950473_db1.metaphlan	SRR3950478_SRR3950478_db1.metaphlan	SRR3950483_SRR3950483_db1.metaphlan	SRR3950487_SRR3950487_db1.metaphlan
k__Bacteria|p__Bacteroidota|c__CFGB658|o__OFGB658	0.00106	0.00124	0.0	0.00149	4.96233	2.13077
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	0.00075	0.00519	0.00828	0.00659	2.49703	0.5349
k__Bacteria|p__Firmicutes|c__CFGB94833|o__OFGB94833	0.00038	0.0	0.0	0.0	0.0	0.00473
k__Bacteria|p__Firmicutes|c__CFGB77220|o__OFGB77220	0.00037	0.0	0.0	0.0	0.00917	0.08412
k__Bacteria|p__Firmicutes|c__CFGB1374|o__OFGB1374	0.0	0.0	0.0	0.0	0.0	0.00742
k__Bacteria|p__Firmicutes|c__CFGB78699|o__OFGB78699	0.0	0.0	0.0	0.0	0.0	0.0071
k__Bacteria|p__Lentisphaerota|c__Lentisphaeria|o__Victivallales	0.0	0.0	0.0	0.0	0.0	0.00605
k__Bacteria|p__Firmicutes|c__CFGB2921|o__OFGB2921	0.0	0.0	0.0	0.0	0.0	0.00395
k__Bacteria|p__Firmicutes|c__CFGB72728|o__OFGB72728	0.0	0.0	0.0	0.0	0.0	0.00258
k__Bacteria|p__Firmicutes|c__CFGB78307|o__OFGB78307	0.0	0.0	0.0	0.0	0.0	0.00205
k__Bacteria|p__Firmicutes|c__CFGB1201|o__OFGB1201	0.0	0.0	0.0	0.0	0.0	0.0019
k__Bacteria|p__Firmicutes|c__CFGB83270|o__OFGB83270	0.0	0.0	0.0	0.0	0.0	0.00184
k__Bacteria|p__Firmicutes|c__CFGB1347|o__OFGB1347	0.0	0.0	0.0	0.0	0.0	0.00157
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	0.0	0.0	0.0	0.0	0.00528	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.94259	5.9756	5.53775	5.0025	0.00197	4.27892
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	1.64409	0.53728	0.53517	0.67659	0.22995	0.83303
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	0.51019	0.01785	0.0161	0.10497	0.0	0.0038
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	0.24849	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Lentisphaerota|c__CFGB2378|o__OFGB2378	0.14386	0.0	0.0	0.0	0.0	0.51313
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.09964	0.22087	0.23648	0.61487	0.02592	0.11013
k__Bacteria|p__Firmicutes|c__CFGB94588|o__OFGB94588	0.0934	0.45835	0.55722	0.40717	0.0	0.1603
k__Bacteria|p__Firmicutes|c__CFGB52309|o__OFGB52309	0.0	0.0	0.0	0.0	0.0	0.00157
k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119	0.0	0.0	0.0	0.0	0.0	0.00926
k__Bacteria|p__Firmicutes|c__CFGB4621|o__OFGB4621	0.0	0.0	0.0	0.0	0.0	0.00825
k__Bacteria|p__Firmicutes|c__CFGB8140|o__OFGB8140	0.0	0.0	0.0	0.0	0.03382	0.00847
k__Bacteria|p__Firmicutes|c__CFGB3040|o__OFGB3040	0.0	0.0	0.0	0.0	0.03371	0.00318
k__Bacteria|p__Firmicutes|c__CFGB4617|o__OFGB4617	0.0	0.0	0.0	0.0	0.03183	0.14988
k__Bacteria|p__Firmicutes|c__CFGB9977|o__OFGB9977	0.0	0.0	0.0	0.0	0.02878	0.27462
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	0.0	0.0	0.0	0.0	0.02699	0.36585
k__Bacteria|p__Firmicutes|c__CFGB79291|o__OFGB79291	0.0	0.0	0.0	0.0	0.02269	0.00041
k__Bacteria|p__Firmicutes|c__CFGB2936|o__OFGB2936	0.0	0.0	0.0	0.0	0.01571	0.14197
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	0.0	0.0	0.0	0.0	0.01283	0.01189
k__Bacteria|p__Firmicutes|c__CFGB10021|o__OFGB10021	0.0	0.0	0.0	0.0	0.00644	0.11132
k__Bacteria|p__Firmicutes|c__CFGB88483|o__OFGB88483	0.0	0.0	0.0	0.0	0.00558	0.02969
k__Bacteria|p__Firmicutes|c__CFGB59449|o__OFGB59449	0.0	0.0	0.0	0.0	5e-05	0.00313
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	0.0	0.0	0.0	0.0	0.03545	0.01442
k__Bacteria|p__Firmicutes|c__CFGB81848|o__OFGB81848	0.0	0.0	0.0	0.0	0.49274	0.08948
