#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR3950474_SRR3950474_db1.metaphlan	SRR3950479_SRR3950479_db1.metaphlan	SRR3950484_SRR3950484_db1.metaphlan	SRR3950488_SRR3950488_db1.metaphlan
k__Bacteria|p__Mycoplasmatota|c__CFGB1789|o__OFGB1789	0.0	0.00609	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB88378|o__OFGB88378	0.0	0.00797	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3040|o__OFGB3040	0.0	0.00832	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB79315|o__OFGB79315	0.0	0.00846	0.0	0.00288
k__Bacteria|p__Lentisphaerota|c__Lentisphaeria|o__Victivallales	0.0	0.00909	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB32970|o__OFGB32970	0.0	0.01113	0.0	0.02208
k__Bacteria|p__Firmicutes|c__CFGB2881|o__OFGB2881	0.0	0.0	0.0	0.03769
k__Bacteria|p__Actinomycetota|c__CFGB12107|o__OFGB12107	0.0	0.0	0.00046	0.0
k__Bacteria|p__Firmicutes|c__CFGB2942|o__OFGB2942	0.0	0.63073	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2837|o__OFGB2837	0.0	0.64953	0.0	0.06656
k__Bacteria|p__Firmicutes|c__CFGB81848|o__OFGB81848	0.0	0.72987	0.0	0.0
k__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Brachyspirales	0.0	0.85904	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.0	0.93196	0.0	1.26971
k__Bacteria|p__Firmicutes|c__CFGB73062|o__OFGB73062	0.0	1.26444	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB658|o__OFGB658	0.0	1.51873	0.0	0.0
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales	0.0	2.99501	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	0.0	10.57324	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB4623|o__OFGB4623	0.0	0.00062	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3625|o__OFGB3625	0.0	0.00088	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB94833|o__OFGB94833	0.0	0.00112	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB4507|o__OFGB4507	0.0	0.00148	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1374|o__OFGB1374	0.0	0.00148	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales	0.0	0.00163	0.0	0.00016
k__Bacteria|p__Firmicutes|c__CFGB2889|o__OFGB2889	0.0	0.01539	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB79152|o__OFGB79152	0.0	0.01614	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2921|o__OFGB2921	0.0	0.01647	0.0	0.0
k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra|o__Opalinata	0.0	0.01659	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1780|o__OFGB1780	0.0	0.01661	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2960|o__OFGB2960	0.0	0.0173	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2997|o__OFGB2997	0.0	0.01788	0.0	0.02701
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	0.0	0.00406	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1838|o__OFGB1838	0.0	0.00411	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	0.0	0.0044	0.0	0.00405
k__Bacteria|p__Firmicutes|c__CFGB94658|o__OFGB94658	0.0	0.00441	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB13532|o__OFGB13532	0.0	0.00441	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1201|o__OFGB1201	0.0	0.00477	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB59449|o__OFGB59449	0.0	0.00488	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB84486|o__OFGB84486	0.0	0.00506	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1778|o__OFGB1778	0.0	0.00558	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB84772|o__OFGB84772	0.0	0.02304	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB88483|o__OFGB88483	0.0	0.02411	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	0.0	0.02614	0.0	0.02373
k__Bacteria|p__Firmicutes|c__CFGB1347|o__OFGB1347	0.0	0.02631	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB73223|o__OFGB73223	0.0	0.02646	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311	0.0	0.02693	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB78317|o__OFGB78317	0.0	0.02893	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB94770|o__OFGB94770	0.0	0.01162	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB8294|o__OFGB8294	0.0	0.01226	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834	0.0	0.01239	0.0	0.01911
k__Bacteria|p__Firmicutes|c__CFGB10021|o__OFGB10021	0.0	0.01312	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB94751|o__OFGB94751	0.0	0.01317	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	0.0	0.01361	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB77413|o__OFGB77413	0.0	0.01362	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB10239|o__OFGB10239	0.0	0.01521	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB78465|o__OFGB78465	0.0	0.01523	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924	0.0	0.06611	0.0	0.05141
k__Bacteria|p__Firmicutes|c__CFGB10314|o__OFGB10314	0.0	0.06869	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2984|o__OFGB2984	0.0	0.07498	0.0	0.0
k__Bacteria|p__Chloroflexota|c__CFGB94700|o__OFGB94700	0.0	0.08363	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB58251|o__OFGB58251	0.0	0.09368	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB88448|o__OFGB88448	0.0	0.09618	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932	0.0	0.10837	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1125|o__OFGB1125	0.0	0.01889	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9622|o__OFGB9622	0.0	0.01933	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB10312|o__OFGB10312	0.0	0.02046	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB4617|o__OFGB4617	0.0	0.021	0.0	0.54168
k__Bacteria|p__Firmicutes|c__CFGB9345|o__OFGB9345	0.0	0.02177	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	0.0	0.0218	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB31503|o__OFGB31503	0.0	0.02209	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9119|o__OFGB9119	0.0	0.0221	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB30328|o__OFGB30328	0.0	0.02215	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB78291|o__OFGB78291	0.0	0.16484	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB79270|o__OFGB79270	0.0	0.17393	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062	0.0	0.18157	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455	0.0	0.18799	0.0	0.0
k__Bacteria|p__Mycoplasmatota|c__CFGB94683|o__OFGB94683	0.0	0.19049	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	0.0	0.23783	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB529|o__OFGB529	0.0	0.26913	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB72814|o__OFGB72814	0.0	0.02991	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9120|o__OFGB9120	0.0	0.03071	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB72899|o__OFGB72899	0.0	0.03419	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2936|o__OFGB2936	0.0	0.03527	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB94588|o__OFGB94588	0.0	0.03657	0.0	0.66679
k__Bacteria|p__Firmicutes|c__CFGB8140|o__OFGB8140	0.0	0.05259	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2930|o__OFGB2930	0.0	0.0527	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2949|o__OFGB2949	0.0	0.05748	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2873|o__OFGB2873	0.0	0.06553	0.0	0.0
k__Bacteria|p__Verrucomicrobiota|c__Opitutia|o__Puniceicoccales	0.0	0.39468	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB10318|o__OFGB10318	0.0	0.43821	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB4405|o__OFGB4405	0.0	0.44242	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9977|o__OFGB9977	0.0	0.47108	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB4648|o__OFGB4648	0.0	0.51004	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1777|o__OFGB1777	0.0	0.5132	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	0.0	0.53357	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB94730|o__OFGB94730	0.0	0.11457	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	0.0	0.11801	0.0	0.45328
